verb | anticipate | anticipar
noun | affluence | riqueza, abundancia
noun | agriculture | agricultura
noun | ailment | enfermedad
noun | allergy | alergia
noun | backing | apoyo, respaldo
noun | breadth | amplitud, abanico (de diferentes cosas)
noun | breeding | cría
adje | cardiovascular | cardiovascular
noun | civil unrest | disturbios civiles, agitación social
verb | clarify | aclarar
noun | commodity | mercancía, producto
verb | consume | consumir
noun | consumption | consumo
noun | content | contenido
noun | crop | cosecha
noun | cultivation | cultivo
verb | devise | idear
noun | disease | enfermedad
noun | distribution | distribución
noun | domestication | domesticación
verb | dread | pavor, temor
adje | ethical | ético
verb | exacerbate | exacerbar, agravar
adje | far-reaching | de amplio alcance
adje | fatty | graso
verb | feed | alimentar
noun | function | función
noun | government | gobierno
noun | guts | agallas, corage
expr | have your work cut out (for you) | tener trabajo por delante
expr | high blood pressure | hipertensión, presión alta
verb | highlight | resaltar, recalcar
noun | home truth | verdad cruel, dura verdad, verdad que duele
noun | household name | personaje famoso
noun | hunter-gatherer | cazador-recolector
adje | inconclusive | no concluyente
adve | inquiringly | inquisitivamente, indagatoriamente
noun | integrity | honradez, honestidad
adje | leisurely | sin prisa
noun | mercy | misericordia
noun | migration | migración
noun | necessity | necesidad
adje | nutritious | nutritivo
noun | obesity | obesidad
noun | overeating | comer en exceso
noun | population | población
noun | preservative | conservante
noun | principle | principio
noun | provision | provisión
noun | residue | residuo
noun | revolution | revolución
verb | satisfy | satisfacer
noun | source | fuente
noun | stability | estabilidad
adje | stable | estable
noun | supply chain | cadena de suministro
adje | susceptible | susceptible
adje | sustainable | sostenible
verb | tackle | abordar, afrontar (algo o alguien)
adje | tasteless | insípido
noun | toxicant | veneno
noun | transmission | transmisión
adje | unhygienic | antihigiénico
adje | unstable | inestable
verb | unveil | desvelar, descubrir, revelar
ph-v | wear sb out | agotar, cansar, fatigar (a alguien)
adve | wearily | con cansancio, con poca energía
noun | accelerator | acelerador
verb | adorn | adornar
adje | airborne | aerotransportado, transportado por el aire
expr | as the crow flies | en línea recta
adje | assertive | seguro, firme
adje | auspicious | propicio, favorable
noun | barley | cebada
noun | black spot | tramo de concentración de accidentes
verb | boast | presumir
noun | boundary | frontera
noun | brushwood | maleza (ramas pequeñas)
adje | chilly, cold | frío
noun | cluster | racimo, grupo
noun | comrade | camarada, colega
noun | coracle | barquilla de cuero
adje | cosy | acogedor, cómodo
expr | creature comfort | comodidades
adje | crisp | nítido (una imagen)
verb | delegate | delegar
noun | disintegration | desintegración
noun | dung | estiércol (excremento animal)
noun | exuberance | exuberancia, euforia
noun | finishing touches | últimos retoques
verb | flap | batir, aletear
noun | foothills | falda, ladera, estribación (de una montaña)
verb | grin | sonreír
adje | harsh | duro, severo
verb | harvest | cosechar
expr | hit the road | ponerse en marcha (empezar la jornada)
expr | home from home | sitio donde uno se encuentra igual de cómodo que en casa.
noun | inconvenience | inconveniencia, inconveniente
verb | jostle | empujar (para poder ir a algún sitio)
adve | lavishly | generosamente, espléndidamente, profusamente
noun | ledge | repisa, saliente (en una ventana o en una montaña)
verb | line | línea
ph-v | liven up | avivar, darle vida a
adje | loyal | leal, fiel
expr | no room to swing a cat | espacio muy pequeño
expr | off the beaten track | apartado
adje | once-in-a-lifetime | una vez en la vida
noun | pannier | alforja, bolsa
noun | paraphrase | paráfrasis
noun | persuasion | persuasión
verb | pile | pila
noun | pontoon | puente flotante
noun | poplar | álamo, chopo
noun | pursuit | actividad, ocupación, hobby
expr | put sth on the map | hacer famoso algo o algún sitio
ph-v | put up with | soportar, aguantar, tolerar
noun | rattle | repiquetear
adje | replaceable | reemplazable
verb | seal | sellar
noun | shrub | arbusto, matorral
noun | sketch | bosquejo, boceto, esbozo
verb | slap | golpear, chocar, abofetear, cachetear
noun | smog | niebla tóxica
noun | splendour | esplendor
verb | stack | apilar, amontonar
expr | a stone's throw | a tiro de piedra (figurado: a corta distancia)
noun | straw | paja
verb | stuff yourself | llenarse, atiborrarse (comer demasiado)
noun | suspension | suspensión
adje | sympathetic | simpático
noun | the establishment | la clase dirigente (la gente que controla un país)
noun | tourist trap | trampa para turistas
verb | vibrate | vibrar
adje | watertight | hermético, sellado (el agua no puede entrar)
verb | whitewash | encalar, blanquear
expr | work-life balance | equilibrio trabajo-vida (comparación de horas de trabajo vs horas con la familia)
noun | yak | yak
adje | average | promedio
verb | breach | traspasar, romper, atravesar
expr | bury your head in the sand | ignorar, negar
noun | carbon footprint | huella ecológica, impacto ambiental
noun | commitment | compromiso, promesa
adje | contrary | contrario
adje | costly | costoso, caro
adje | cumulative | acumulativo
noun | damage | daño
noun | decline | disminución, debilidad
noun | decrease | reducción, disminución
adje | defective | defectuoso
noun | dengue fever, dengue | dengue
adve | densely | densamente
adje | dire | terrible, nefasto
noun | drop | caída, descenso
noun | drought | sequía
noun | emission | emisión
expr | flood alert | alerta de inundación
noun | flooding | inundación
noun | fluctuation | fluctuación
noun | fossil fuel | combustible fósil
noun | global warming | calentamiento global
expr | go to great lengths | hacen todo lo posible, esforzarse mucho
noun | greenhouse gas | gases de efecto invernadero, gases causantes del efecto invernadero
noun | heat wave | ola de calor
noun | high tide | marea alta
noun | humidity | humedad
noun | hurricane | huracán
noun | ice cap | capa de hielo
verb | increase | aumentar, subir
noun | infrastructure | infraestructura
expr | long-range forecast | previsión a largo plazo
noun | malaria | malaria
expr | play with fire | jugar con fuego
adje | prolonged | prolongado, extendido
adje | prone to | propenso a, tendiente a
noun | reduction | reducción
verb | rise | subir
adje | sluggish | muy lento
adje | stark | escueto, desnudo (un paisaje por ejemplo)
adje | substantial | abundante, considerable
noun | switch | cambio
adje | torrential | torrencial
noun | wake-up call | llamada de atención, toque de atención
verb | accentuate | acentuar, resaltar
verb | arm | armar, equipar
noun | asset | recurso, herramienta
noun | campaign | campaña
noun | compensation | compensación, remuneración
adje | concise | conciso
expr | constructive criticism | crítica constructiva
noun | counter-argument | contraargumento
ph-v | crop up | salir de la nada
expr | drop hints | consejos de caída
noun | failing | defecto, falta
expr | hot air | fanfarronería, cháchara
ph-v | jot down | anotar, apuntar
noun | pastime | pasatiempo, hobby
expr | raise objections to | poner objeción a
verb | run | correrse
ph-v | settle in | sentirse cómodo
ph-v | sift out | filtrar, seleccionar
verb | spout | soltar un rollo
expr | suffer in silence | sufrir en silencio
noun | superior | superior (una persona el un trabajo)
verb | voice | expresar
noun | aftertaste | regusto
noun | agony | agonía
adje | awash | lleno, abarrotado
verb | binge | comer en exceso
verb | blame | culpar
noun | cascade | cascada (muchas de algo; también es la caída del agua...)
noun | chocoholic | adicto al chocolate
verb | conduct | dirigir, llevar a cabo
expr | be confined to | estar limitado a, estar cerrado a
noun | current affairs | temas de actualidad
verb | deactivate | desactivar
noun | event | evento
ph-v | expose sb to sth | exponer a alguien a hacer algo
verb | flag | flaquear, decaer
adje | fleeting | fugaz, breve
noun | fluid | líquido, fluido
noun | gel | gel
noun | gene | gen
noun | gherkin | pepinillo
adje | glittering | reluciente
expr | have a sweet tooth | ser goloso, aficionado al dulce
noun | haze | niebla de humo, niebla (no necesariamente la natural. Puede ser de un cigarro también)
noun | host | anfitrión, receptor
adje | illegal | ilegal
noun | immune system | sistema inmunitario
verb | initiate | iniciar
verb | loom | avecinarse, cernirse, acercarse (intimidantemente)
verb | modify | modificar
verb | pinch | pellizcar
adje | plucky | valeroso, valiente
noun | protein | proteína
verb | resist | resistirse a
verb | risk | riesgo
noun | sachet | bolsita
verb | screech | chillido
adje | slippery | resbaladizo
adje | sore | doloroso
verb | submit | presentar, entregar
verb | tingle | hormigueo (en una parte del cuerpo)
noun | torch | antorcha
ph-v | touch on | mencionar, aludir brevemente
noun | trait | rasgo, característica
noun | tribute band | banda tributo (grupo de música que toca canciones de un grupo famoso de música)
verb | unravel | desenmarañarse, desenredarse
adje | unscrupulous | inescrupuloso, inmoral
expr | vicious circle | círculo vicioso
noun | victim | víctima
adje | voluntary | voluntario
noun | the wall | el muro (punto donde ya no puedes continuar)
noun | advocate | defensor (de una idea)
adve | afresh | de nuevo
noun | alliance | alianza, coalición
noun | bigger picture | visión más amplia (de una situación)
expr | be carried away | dejarse llevar, entusiasmarse
adje | complacent | satisfecho con uno mismo
verb | conform | adecuarse, ajustarse, avenirse, ajustarse a la norma (de igual forma a los demás)
verb | constitute | constituir
noun | constraint | restricción, limitación
verb | cue | dar señal, dar el pie a, inducir
verb | denounce | denunciar, criticar
verb | deny | negar
verb | destabilise | desestabilizar
adje | dispensable | dispensable, superfluo, prescindible
expr | draw a conclusion | sacar una conclusión
verb | envisage | prever, imaginar
verb | err | errar, equivocarse
adje | erroneous | erróneo
verb | evaluate | evaluar
verb | exercise | ejercer
adje | fearless | valiente, sin miedo
noun | fraction | fracción
expr | further afield | muy lejos
ph-v | grapple with | luchar contra, tratar de resolver
noun | handler | entrenador, adiestrador, domador
noun | ingenuity | ingenio
noun | innovator | innovador
adje | invaluable | inestimable, invaluable
verb | manipulate | manipular
noun | maverick | disidente, inconformista
noun | mussel | mejillón
verb | nurture | apoyar, promover
noun | octopus | pulpo
verb | orientate | guiar, dirigir
adje | overriding | primordial, principal, predominante
noun | paella | paella
expr | paper over the cracks | poner parches, disimular
verb | ponder | reflexionar
adje | ponderous | pesado, agotador
verb | pool | aportar, compartir
noun | procedure | procedimiento
adje | psychic | psíquico
expr | rock the boat | causar problemas, agitar las aguas
verb | smooth | suavizar, calmar, alisar
noun | subtraction | sustracción
verb | sway | influenciar, persuadir
adve | systematically | sistemáticamente
verb | tap | golpetear
noun | teamwork | trabajo en equipo
expr | to the full | al máximo (de bien posible)
adve | unintentionally | involuntariamente, accidentalmente, sin querer
expr | haves and haves-nots | ricos y pobres
verb | swing | balancearse, mover
expr | barefoot | descalzo, con los pies desnudos, descalza
noun | corn | maíz
adve | afterward, aftermards | después, luego, más tarde
noun | cottage | cabaña, casita de campo
noun | furniture | muebles
